t,x,y,z,prank,etype,uidx,eidx,rho,u,v,w,p
0.0023276312124047953,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949277652057108,34.643202085094174,-9.953602364586551e-10,-7.253097131664678,90071.5837551565
0.0023352325416262985,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949252571933563,34.64165154414902,-1.990311307463771e-09,-7.26073774447404,90071.28754053095
0.00234212900564179,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949219907629029,34.6400293436348,-8.447375463967698e-10,-7.27062342598584,90070.90257044694
0.0023497511742609626,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949187281562338,34.637907250077006,-1.8846550592483396e-09,-7.284024277370661,90070.51583413861
0.0023571495561238815,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.094917285041702,34.635422780347454,-3.768349291411459e-09,-7.298658592092711,90070.3387270588
0.002364405590816771,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949165249177129,34.63312834549952,-2.7102473059770026e-09,-7.313846992874318,90070.24117422418
0.0023716608370267845,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949159359304488,34.63135394802547,1.1564041131902406e-09,-7.329047069465598,90070.16472133089
0.002379005415729541,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.094917480688981,34.62972445598036,3.94144271762878e-09,-7.343490264203154,90070.33579787712
0.0023862393364389696,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949219626874687,34.62820097514062,2.671125966043659e-09,-7.355980095432363,90070.84736997545
0.0023935665305530574,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949294668194334,34.62685126878933,4.425017063775517e-10,-7.366189029903122,90071.70913510455
0.002401185914562142,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949399580358041,34.6258206928101,8.874454505752948e-10,-7.373636126049992,90072.91704457156
0.0024085414361820568,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949524092307172,34.62523695581753,1.815065718996227e-09,-7.3773824670068295,90074.35258768951
0.0024158347502874285,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949666844840813,34.625067599035326,-1.829729150111764e-10,-7.377623880680397,90075.99967171422
0.0024232092776949065,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0949825350077491,34.62533550840418,-3.6776818499725155e-09,-7.37449450759381,90077.82928466267
0.002430500433254114,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0950002966061325,34.625659432364465,-4.048818684780304e-09,-7.368360131908717,90079.87954560384
0.002437770507440995,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.095019740877355,34.62593942888538,-1.1943394660009994e-09,-7.359710982742738,90082.12370860082
0.0024451851043687475,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0950396525491402,34.626440159774575,1.9865717627388886e-09,-7.3488685433714505,90084.42146851427
0.0024525712937407554,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0950580743564904,34.627300904788605,1.7682912873813077e-09,-7.336606909945299,90086.54689496315
0.0024599664073773056,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0950744415618803,34.62841104295486,6.301552727976107e-11,-7.323548916636347,90088.43466375624
0.0024673696279649596,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0950886125782986,34.62952546172478,4.399393177190333e-10,-7.310539488757527,90090.06828035925
0.0024749702648099196,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0951006453189616,34.63052494456566,2.4122203732891397e-09,-7.298166962853091,90091.45435103889
0.002482292393872011,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0951096914796852,34.63126483324785,1.7512916037732e-09,-7.287874846439552,90092.4952598831
0.0024894409348216505,0.12967653535683477,6.762099922755498e-05,0.04983981408073685,14,pri,4,1439,1.0951162802057652,34.631647756392425,-8.186058736714526e-10,-7.27980243742737,90093.25221287661
